Protein IDs,Protein names,Gene names,Fasta headers,Proteins,copy number per cell sample  1,copy number per cell sample  2,copy number per cell sample  3,Average copy number
P39161,Uxu operon transcriptional regulator,uxuR,>sp|P39161|UXUR_ECOLI Uxu operon transcriptional regulator OS=Escherichia coli (strain K12) GN=uxuR PE=4 SV=1,1,18.34726096,6.993517492,19.74710928,15.02929591
P07118,Valine--tRNA ligase,valS,>sp|P07118|SYV_ECOLI Valine--tRNA ligase OS=Escherichia coli (strain K12) GN=valS PE=1 SV=2,1,490.8045154,400.8191239,436.7618435,442.7951609
P0ADN0,Protein viaA,viaA,>sp|P0ADN0|VIAA_ECOLI Protein viaA OS=Escherichia coli (strain K12) GN=viaA PE=1 SV=1,1,1.340529942,0.607276235,0,0.649268726
P25535,Protein visC,visC,>sp|P25535|VISC_ECOLI Protein visC OS=Escherichia coli (strain K12) GN=visC PE=3 SV=2,1,110.8121969,101.4563288,127.5814145,113.2833134
P0AC75,3-deoxy-D-manno-octulosonic-acid transferase,waaA,>sp|P0AC75|KDTA_ECOLI 3-deoxy-D-manno-octulosonic-acid transferase OS=Escherichia coli (strain K12) GN=waaA PE=3 SV=1,1,94.92576678,66.80123493,58.88828176,73.53842782
P27828,UDP-N-acetylglucosamine 2-epimerase,wecB,>sp|P27828|WECB_ECOLI UDP-N-acetylglucosamine 2-epimerase OS=Escherichia coli (strain K12) GN=wecB PE=1 SV=2,1,105.1138777,86.4904351,71.6119086,87.73874047
P27829,UDP-N-acetyl-D-mannosamine dehydrogenase,wecC,>sp|P27829|WECC_ECOLI UDP-N-acetyl-D-mannosamine dehydrogenase OS=Escherichia coli (strain K12) GN=wecC PE=3 SV=4,1,7.668463414,7.791318178,13.50042902,9.653403538
P27836,Probable UDP-N-acetyl-D-mannosaminuronic acid transferase,wecG,>sp|P27836|WECG_ECOLI Probable UDP-N-acetyl-D-mannosaminuronic acid transferase OS=Escherichia coli (strain K12) GN=wecG PE=3 SV=2,1,181.734528,157.1830253,250.058237,196.3252634
P0A8G6,Flavoprotein wrbA,wrbA,>sp|P0A8G6|WRBA_ECOLI Flavoprotein wrbA OS=Escherichia coli (strain K12) GN=wrbA PE=1 SV=2,1,900.905379,669.7318211,1161.98176,910.8729865
P0A930,Putative polysaccharide export protein wza,wza,>sp|P0A930|WZA_ECOLI Putative polysaccharide export protein wza OS=Escherichia coli (strain K12) GN=wza PE=3 SV=1,1,0.639904436,0,0,0.213301479
P76372,Chain length determinant protein,wzzB,>sp|P76372|WZZB_ECOLI Chain length determinant protein OS=Escherichia coli (strain K12) GN=wzzB PE=1 SV=2,1,129.0416229,146.1806938,178.010619,151.0776452
P0AG00,Lipopolysaccharide biosynthesis protein wzzE,wzzE,>sp|P0AG00|WZZE_ECOLI Lipopolysaccharide biosynthesis protein wzzE OS=Escherichia coli (strain K12) GN=wzzE PE=1 SV=2,1,103.859015,35.85302036,62.71236429,67.47479988
P67444,Xanthine permease XanQ,xanQ,>sp|P67444|XANQ_ECOLI Xanthine permease XanQ OS=Escherichia coli (strain K12) GN=xanQ PE=1 SV=2,1,10.87222971,10.40807432,15.35232223,12.21087542
Q46799,Xanthine dehydrogenase molybdenum-binding subunit,xdhA,>sp|Q46799|XDHA_ECOLI Xanthine dehydrogenase molybdenum-binding subunit OS=Escherichia coli (strain K12) GN=xdhA PE=2 SV=1,1,57.62069595,29.20115594,35.16632513,40.66272567
Q46800,Xanthine dehydrogenase FAD-binding subunit,xdhB,>sp|Q46800|XDHB_ECOLI Xanthine dehydrogenase FAD-binding subunit OS=Escherichia coli (strain K12) GN=xdhB PE=3 SV=1,1,50.89850578,49.72402652,54.27206936,51.63153389
Q46801,Xanthine dehydrogenase iron-sulfur-binding subunit,xdhC,>sp|Q46801|XDHC_ECOLI Xanthine dehydrogenase iron-sulfur-binding subunit OS=Escherichia coli (strain K12) GN=xdhC PE=3 SV=1,1,142.8055078,137.1579004,172.9487848,150.970731
Q46814,Probable hypoxanthine oxidase XdhD,xdhD,>sp|Q46814|XDHD_ECOLI Probable hypoxanthine oxidase XdhD OS=Escherichia coli (strain K12) GN=xdhD PE=3 SV=1,1,252.0044636,226.5461786,259.0322403,245.8609608
P0A8P6,Tyrosine recombinase XerC,xerC,>sp|P0A8P6|XERC_ECOLI Tyrosine recombinase XerC OS=Escherichia coli (strain K12) GN=xerC PE=1 SV=1,1,0,2.05873232,3.73120831,1.92998021
P0A8P8,Tyrosine recombinase XerD,xerD,>sp|P0A8P8|XERD_ECOLI Tyrosine recombinase XerD OS=Escherichia coli (strain K12) GN=xerD PE=1 SV=1,1,2.080046186,1.451089919,0,1.177045369
P04994,Exodeoxyribonuclease 7 large subunit,xseA,>sp|P04994|EX7L_ECOLI Exodeoxyribonuclease 7 large subunit OS=Escherichia coli (strain K12) GN=xseA PE=1 SV=2,1,33.98825442,12.32761212,11.82520087,19.3803558
P09030,Exodeoxyribonuclease III,xthA,>sp|P09030|EX3_ECOLI Exodeoxyribonuclease III OS=Escherichia coli (strain K12) GN=xthA PE=1 SV=4,1,126.2260079,74.00994234,82.42516253,94.22037093
P00944,Xylose isomerase,xylA,>sp|P00944|XYLA_ECOLI Xylose isomerase OS=Escherichia coli (strain K12) GN=xylA PE=3 SV=1,1,12.17586151,9.067867369,6.309161825,9.1842969
P09099,Xylulose kinase,xylB,>sp|P09099|XYLB_ECOLI Xylulose kinase OS=Escherichia coli (strain K12) GN=xylB PE=1 SV=1,1,8.0200896,10.57232709,13.04468505,10.54570058
P0ACI3,Xylose operon regulatory protein,xylR,>sp|P0ACI3|XYLR_ECOLI Xylose operon regulatory protein OS=Escherichia coli (strain K12) GN=xylR PE=4 SV=1,1,10.07965434,2.563580926,2.298083164,4.980439477
P0A8I3,UPF0246 protein yaaA,yaaA,>sp|P0A8I3|YAAA_ECOLI UPF0246 protein yaaA OS=Escherichia coli (strain K12) GN=yaaA PE=1 SV=1,1,269.3196257,169.136154,94.91239356,177.7893911
P36680,UPF0289 protein yacF,yacF,>sp|P36680|YACF_ECOLI UPF0289 protein yacF OS=Escherichia coli (strain K12) GN=yacF PE=3 SV=2,1,220.0292056,201.0219912,280.2673309,233.7728425
P0A8H8,DNA gyrase inhibitor YacG,yacG,>sp|P0A8H8|YACG_ECOLI DNA gyrase inhibitor YacG OS=Escherichia coli (strain K12) GN=yacG PE=1 SV=1,1,6.56948716,0,0,2.189829053
P0A8E5,UPF0231 protein yacL,yacL,>sp|P0A8E5|YACL_ECOLI UPF0231 protein yacL OS=Escherichia coli (strain K12) GN=yacL PE=3 SV=1,1,57.1458368,48.09202044,57.67873096,54.3055294
P31666,Uncharacterized protein yadE,yadE,>sp|P31666|YADE_ECOLI Uncharacterized protein yadE OS=Escherichia coli (strain K12) GN=yadE PE=4 SV=2,1,0,0.6315019,0.560419696,0.397307199
P36879,Uncharacterized ABC transporter ATP-binding protein YadG,yadG,>sp|P36879|YADG_ECOLI Uncharacterized ABC transporter ATP-binding protein YadG OS=Escherichia coli (strain K12) GN=yadG PE=3 SV=1,1,59.62060172,51.56613738,29.83974899,47.00882936
P28634,UPF0066 protein yaeB,yaeB,>sp|P28634|YAEB_ECOLI UPF0066 protein yaeB OS=Escherichia coli (strain K12) GN=yaeB PE=1 SV=2,1,6.644408712,6.602197226,9.022658442,7.423088126
P62768,UPF0325 protein yaeH,yaeH,>sp|P62768|YAEH_ECOLI UPF0325 protein yaeH OS=Escherichia coli (strain K12) GN=yaeH PE=3 SV=1,1,1852.899804,973.3540582,1338.333941,1388.195934
P0A8K5,UPF0253 protein yaeP,yaeP,>sp|P0A8K5|YAEP_ECOLI UPF0253 protein yaeP OS=Escherichia coli (strain K12) GN=yaeP PE=1 SV=1,1,87.75592427,20.73740788,44.4268067,50.97337962
P0AA97,Uncharacterized protein yaeQ,yaeQ,>sp|P0AA97|YAEQ_ECOLI Uncharacterized protein yaeQ OS=Escherichia coli (strain K12) GN=yaeQ PE=1 SV=1,1,83.06152102,54.66240102,50.65363523,62.79251909
P0A940,Outer membrane protein assembly factor yaeT,yaeT,>sp|P0A940|YAET_ECOLI Outer membrane protein assembly factor yaeT OS=Escherichia coli (strain K12) GN=yaeT PE=1 SV=1,1,443.050519,423.2477553,468.7156267,445.0046337
P30864,Uncharacterized HTH-type transcriptional regulator yafC,yafC,>sp|P30864|YAFC_ECOLI Uncharacterized HTH-type transcriptional regulator yafC OS=Escherichia coli (strain K12) GN=yafC PE=4 SV=1,1,63.14955375,42.29255773,51.96888195,52.47033114
P0A8U2,UPF0294 protein yafD,yafD,>sp|P0A8U2|YAFD_ECOLI UPF0294 protein yafD OS=Escherichia coli (strain K12) GN=yafD PE=3 SV=1,1,28.90070195,31.1305713,35.62191137,31.88439488
Q47147,Putative glutamine amidotransferase yafJ,yafJ,>sp|Q47147|YAFJ_ECOLI Putative glutamine amidotransferase yafJ OS=Escherichia coli (strain K12) GN=yafJ PE=4 SV=1,1,154.0922002,109.9244572,174.4835051,146.1667208
Q47679,UPF0012 hydrolase yafV,yafV,>sp|Q47679|YAFV_ECOLI UPF0012 hydrolase yafV OS=Escherichia coli (strain K12) GN=yafV PE=3 SV=1,1,33.15568493,30.12462036,36.83699485,33.37243338
P0AAA1,Inner membrane protein yagU,yagU,>sp|P0AAA1|YAGU_ECOLI Inner membrane protein yagU OS=Escherichia coli (strain K12) GN=yagU PE=1 SV=1,1,1507.274487,1216.413485,795.4690328,1173.052335
P21514,Cyclic di-GMP phosphodiesterase yahA,yahA,>sp|P21514|YAHA_ECOLI Cyclic di-GMP phosphodiesterase yahA OS=Escherichia coli (strain K12) GN=yahA PE=1 SV=2,1,13.73649711,9.848535875,11.25781304,11.61428201
P0C037,UPF0345 protein yaiE,yaiE,>sp|P0C037|YAIE_ECOLI UPF0345 protein yaiE OS=Escherichia coli (strain K12) GN=yaiE PE=3 SV=1,1,226.8494352,188.0568962,252.3283981,222.4115765
P0A8D3,UPF0178 protein yaiI,yaiI,>sp|P0A8D3|YAII_ECOLI UPF0178 protein yaiI OS=Escherichia coli (strain K12) GN=yaiI PE=1 SV=1,1,142.1063534,84.77779251,70.85885124,99.24766573
P51024,Uncharacterized protein yaiL,yaiL,>sp|P51024|YAIL_ECOLI Uncharacterized protein yaiL OS=Escherichia coli (strain K12) GN=yaiL PE=4 SV=2,1,51.8662,38.62717034,48.56932593,46.35423209
P77562,Uncharacterized protein yaiW,yaiW,>sp|P77562|YAIW_ECOLI Uncharacterized protein yaiW OS=Escherichia coli (strain K12) GN=yaiW PE=4 SV=1,1,2.561628982,5.975537326,5.269813832,4.602326713
P0ADZ7,UPF0092 membrane protein yajC,yajC,>sp|P0ADZ7|YAJC_ECOLI UPF0092 membrane protein yajC OS=Escherichia coli (strain K12) GN=yajC PE=1 SV=1,1,2250.781012,1616.478881,2014.136196,1960.465363
P0AAQ2,Uncharacterized protein yajD,yajD,>sp|P0AAQ2|YAJD_ECOLI Uncharacterized protein yajD OS=Escherichia coli (strain K12) GN=yajD PE=4 SV=1,1,31.84899273,13.98021782,4.57944896,16.8028865
P0ADA5,Uncharacterized lipoprotein yajG,yajG,>sp|P0ADA5|YAJG_ECOLI Uncharacterized lipoprotein yajG OS=Escherichia coli (strain K12) GN=yajG PE=4 SV=1,1,690.3385281,465.5157973,737.3279964,631.060774
Q46948,Chaperone protein YajL,yajL,>sp|Q46948|YAJL_ECOLI Chaperone protein YajL OS=Escherichia coli (strain K12) GN=yajL PE=1 SV=2,1,439.4044233,292.7345259,342.9945193,358.3778228
P77735,Uncharacterized oxidoreductase YajO,yajO,>sp|P77735|YAJO_ECOLI Uncharacterized oxidoreductase YajO OS=Escherichia coli (strain K12) GN=yajO PE=3 SV=2,1,74.53882711,61.45548056,77.23157952,71.07529573
P0A8E7,UPF0234 protein yajQ,yajQ,>sp|P0A8E7|YAJQ_ECOLI UPF0234 protein yajQ OS=Escherichia coli (strain K12) GN=yajQ PE=1 SV=2,1,1678.686515,1668.624,1913.355419,1753.555311
P77726,Inner membrane transport protein yajR,yajR,>sp|P77726|YAJR_ECOLI Inner membrane transport protein yajR OS=Escherichia coli (strain K12) GN=yajR PE=1 SV=2,1,7.410961234,4.499279745,7.740362199,6.550201059
P0A8B5,UPF0133 protein ybaB,ybaB,>sp|P0A8B5|YBAB_ECOLI UPF0133 protein ybaB OS=Escherichia coli (strain K12) GN=ybaB PE=1 SV=1,1,2060.500916,680.6702174,666.4282769,1135.86647
P0AAR3,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase ybaK,ybaK,>sp|P0AAR3|YBAK_ECOLI Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase ybaK OS=Escherichia coli (strain K12) GN=ybaK PE=1 SV=1,1,520.2296555,271.535647,336.6912737,376.1521921
P39830,Inner membrane protein ybaL,ybaL,>sp|P39830|YBAL_ECOLI Inner membrane protein ybaL OS=Escherichia coli (strain K12) GN=ybaL PE=1 SV=2,1,2.104294546,0.510361011,0.666793286,1.093816281
P77301,Uncharacterized protein ybaP,ybaP,>sp|P77301|YBAP_ECOLI Uncharacterized protein ybaP OS=Escherichia coli (strain K12) GN=ybaP PE=4 SV=1,1,0,0.976949818,1.027931873,0.668293897
P0A9T6,Uncharacterized HTH-type transcriptional regulator ybaQ,ybaQ,>sp|P0A9T6|YBAQ_ECOLI Uncharacterized HTH-type transcriptional regulator ybaQ OS=Escherichia coli (strain K12) GN=ybaQ PE=1 SV=1,1,4.078365457,2.604243945,7.458711377,4.713773593
P77717,Uncharacterized lipoprotein ybaY,ybaY,>sp|P77717|YBAY_ECOLI Uncharacterized lipoprotein ybaY OS=Escherichia coli (strain K12) GN=ybaY PE=4 SV=1,1,54.37724846,58.74397591,55.20377645,56.1083336
P0A9T8,Uncharacterized ABC transporter ATP-binding protein YbbA,ybbA,>sp|P0A9T8|YBBA_ECOLI Uncharacterized ABC transporter ATP-binding protein YbbA OS=Escherichia coli (strain K12) GN=ybbA PE=3 SV=1,1,1.357098997,7.181885774,6.411905235,4.983630002
P0AAS3,Inner membrane protein ybbJ,ybbJ,>sp|P0AAS3|YBBJ_ECOLI Inner membrane protein ybbJ OS=Escherichia coli (strain K12) GN=ybbJ PE=1 SV=2,1,42.71137697,32.89173736,24.26074736,33.2879539
P77279,Uncharacterized ABC transporter ATP-binding protein YbbL,ybbL,>sp|P77279|YBBL_ECOLI Uncharacterized ABC transporter ATP-binding protein YbbL OS=Escherichia coli (strain K12) GN=ybbL PE=1 SV=1,1,37.96559248,32.40608755,53.07834864,41.15000955
P77307,UPF0014 inner membrane protein ybbM,ybbM,>sp|P77307|YBBM_ECOLI UPF0014 inner membrane protein ybbM OS=Escherichia coli (strain K12) GN=ybbM PE=1 SV=2,1,35.01712357,30.04815229,34.18916445,33.08481344
P77395,Uncharacterized protein ybbN,ybbN,>sp|P77395|YBBN_ECOLI Uncharacterized protein ybbN OS=Escherichia coli (strain K12) GN=ybbN PE=1 SV=2,1,354.4210491,308.4055789,307.9190471,323.5818917
P0AFP4,Uncharacterized oxidoreductase ybbO,ybbO,>sp|P0AFP4|YBBO_ECOLI Uncharacterized oxidoreductase ybbO OS=Escherichia coli (strain K12) GN=ybbO PE=3 SV=1,1,3.729083391,7.615056869,14.5347042,8.626281487
P77504,Uncharacterized ABC transporter permease ybbP,ybbP,>sp|P77504|YBBP_ECOLI Uncharacterized ABC transporter permease ybbP OS=Escherichia coli (strain K12) GN=ybbP PE=3 SV=1,1,2.306991864,1.330427305,1.340878858,1.659432676
P75717,Putative uncharacterized protein ybCC,ybcC,>sp|P75717|YBCC_ECOLI Putative uncharacterized protein ybCC OS=Escherichia coli (strain K12) GN=ybcC PE=5 SV=1,1,7.062445008,0,0,2.354148336
P37325,Uncharacterized protein ybcH,ybcH,>sp|P37325|YBCH_ECOLI Uncharacterized protein ybcH OS=Escherichia coli (strain K12) GN=ybcH PE=4 SV=2,1,30.95843798,17.50312455,16.28776542,21.58310932
P0AAS7,Uncharacterized protein ybcJ,ybcJ,>sp|P0AAS7|YBCJ_ECOLI Uncharacterized protein ybcJ OS=Escherichia coli (strain K12) GN=ybcJ PE=1 SV=1,1,368.9798083,519.9400696,402.2346816,430.3848532
P77368,UPF0098 protein ybcL,ybcL,>sp|P77368|YBCL_ECOLI UPF0098 protein ybcL OS=Escherichia coli (strain K12) GN=ybcL PE=1 SV=1,1,44.6765769,53.71182886,34.45052056,44.27964211
P77634,Uncharacterized HTH-type transcriptional regulator ybcM,ybcM,>sp|P77634|YBCM_ECOLI Uncharacterized HTH-type transcriptional regulator ybcM OS=Escherichia coli (strain K12) GN=ybcM PE=4 SV=1,1,5.582376438,0,7.203532246,4.261969561
P77460,Putative uncharacterized protein ybcY,ybcY,>sp|P77460|YBCY_ECOLI Putative uncharacterized protein ybcY OS=Escherichia coli (strain K12) GN=ybcY PE=5 SV=2,1,44.26838506,10.33870007,71.56615177,42.05774563
P45579,Uncharacterized oxidoreductase YbdH,ybdH,>sp|P45579|YBDH_ECOLI Uncharacterized oxidoreductase YbdH OS=Escherichia coli (strain K12) GN=ybdH PE=3 SV=2,1,0,1.280964626,1.060545807,0.780503478
P0AAT6,Uncharacterized protein ybeB,ybeB,>sp|P0AAT6|YBEB_ECOLI Uncharacterized protein ybeB OS=Escherichia coli (strain K12) GN=ybeB PE=1 SV=1,1,44.13160536,67.79659582,65.48724354,59.13848157
P0A8J4,UPF0250 protein ybeD,ybeD,>sp|P0A8J4|YBED_ECOLI UPF0250 protein ybeD OS=Escherichia coli (strain K12) GN=ybeD PE=1 SV=1,1,331.5884196,236.6633452,279.9830883,282.744951
P0AAT9,Uncharacterized protein ybeL,ybeL,>sp|P0AAT9|YBEL_ECOLI Uncharacterized protein ybeL OS=Escherichia coli (strain K12) GN=ybeL PE=4 SV=1,1,671.6901436,565.8091589,555.6109651,597.7034226
P0A898,Probable rRNA maturation factor YbeY,ybeY,>sp|P0A898|RRMF_ECOLI Probable rRNA maturation factor YbeY OS=Escherichia coli (strain K12) GN=ybeY PE=1 SV=1,1,0,5.126626219,11.3470406,5.491222273
P0A9K3,PhoH-like protein,ybeZ,>sp|P0A9K3|PHOL_ECOLI PhoH-like protein OS=Escherichia coli (strain K12) GN=ybeZ PE=1 SV=2,1,166.4508195,164.1370719,229.3046306,186.6308407
P0AAU7,Uncharacterized protein ybfE,ybfE,>sp|P0AAU7|YBFE_ECOLI Uncharacterized protein ybfE OS=Escherichia coli (strain K12) GN=ybfE PE=4 SV=2,1,15.43462799,25.72524229,17.00480244,19.38822424
P75736,Esterase ybfF,ybfF,>sp|P75736|YBFF_ECOLI Esterase ybfF OS=Escherichia coli (strain K12) GN=ybfF PE=1 SV=1,1,86.68859808,52.61405783,79.71740305,73.00668632
P0A8Z3,Acyl-CoA thioester hydrolase YbgC,ybgC,>sp|P0A8Z3|YBGC_ECOLI Acyl-CoA thioester hydrolase YbgC OS=Escherichia coli (strain K12) GN=ybgC PE=1 SV=1,1,227.573752,136.7822393,163.9369984,176.0976632
P45955,Uncharacterized protein YbgF,ybgF,>sp|P45955|YBGF_ECOLI Uncharacterized protein YbgF OS=Escherichia coli (strain K12) GN=ybgF PE=1 SV=2,1,316.0938705,250.1608458,318.9223288,295.059015
P0AFP6,UPF0135 protein ybgI,ybgI,>sp|P0AFP6|YBGI_ECOLI UPF0135 protein ybgI OS=Escherichia coli (strain K12) GN=ybgI PE=1 SV=1,1,346.6347281,314.9452044,308.8744426,323.4847917
P0AAV4,Uncharacterized protein ybgJ,ybgJ,>sp|P0AAV4|YBGJ_ECOLI Uncharacterized protein ybgJ OS=Escherichia coli (strain K12) GN=ybgJ PE=4 SV=1,1,5.483541542,2.951753614,3.61072837,4.015341175
P75745,Uncharacterized protein ybgK,ybgK,>sp|P75745|YBGK_ECOLI Uncharacterized protein ybgK OS=Escherichia coli (strain K12) GN=ybgK PE=4 SV=1,1,3.078507386,2.85380855,6.169482426,4.033932787
P75746,UPF0271 protein ybgL,ybgL,>sp|P75746|YBGL_ECOLI UPF0271 protein ybgL OS=Escherichia coli (strain K12) GN=ybgL PE=1 SV=1,1,14.15132042,9.955626735,13.70871422,12.60522046
P0AAV6,Uncharacterized protein ybgS,ybgS,>sp|P0AAV6|YBGS_ECOLI Uncharacterized protein ybgS OS=Escherichia coli (strain K12) GN=ybgS PE=4 SV=1,1,0,0,0,0
P21829,Phosphatase YbhA,ybhA,>sp|P21829|YBHA_ECOLI Phosphatase YbhA OS=Escherichia coli (strain K12) GN=ybhA PE=3 SV=3,1,64.10603265,34.72291895,38.27936951,45.7027737
P12994,UPF0098 protein ybhB,ybhB,>sp|P12994|YBHB_ECOLI UPF0098 protein ybhB OS=Escherichia coli (strain K12) GN=ybhB PE=1 SV=2,1,10.54031429,17.21511991,21.74838087,16.50127169
P46130,Putative acyl-CoA thioester hydrolase ybhC,ybhC,>sp|P46130|YBHC_ECOLI Putative acyl-CoA thioester hydrolase ybhC OS=Escherichia coli (strain K12) GN=ybhC PE=1 SV=2,1,159.8632543,112.5818358,196.5096579,156.3182493
P0A9U1,Uncharacterized ABC transporter ATP-binding protein YbhF,ybhF,>sp|P0A9U1|YBHF_ECOLI Uncharacterized ABC transporter ATP-binding protein YbhF OS=Escherichia coli (strain K12) GN=ybhF PE=1 SV=1,1,16.33442098,45.49064652,25.97899935,29.26802228
P75777,UPF0194 membrane protein ybhG,ybhG,>sp|P75777|YBHG_ECOLI UPF0194 membrane protein ybhG OS=Escherichia coli (strain K12) GN=ybhG PE=3 SV=1,1,240.434411,225.4434744,216.1184819,227.3321224
P75767,UPF0052 protein ybhK,ybhK,>sp|P75767|YBHK_ECOLI UPF0052 protein ybhK OS=Escherichia coli (strain K12) GN=ybhK PE=3 SV=1,1,62.97498391,48.87018505,53.59172175,55.14563024
P0AFP9,Inner membrane transport permease ybhR,ybhR,>sp|P0AFP9|YBHR_ECOLI Inner membrane transport permease ybhR OS=Escherichia coli (strain K12) GN=ybhR PE=1 SV=1,1,0,0,0,0
P0AFQ2,Inner membrane transport permease ybhS,ybhS,>sp|P0AFQ2|YBHS_ECOLI Inner membrane transport permease ybhS OS=Escherichia coli (strain K12) GN=ybhS PE=1 SV=1,1,37.16338679,25.13223303,25.45330576,29.24964186
P30177,Uncharacterized protein ybiB,ybiB,>sp|P30177|YBIB_ECOLI Uncharacterized protein ybiB OS=Escherichia coli (strain K12) GN=ybiB PE=3 SV=1,1,470.716395,342.7801379,355.8136321,389.770055
P30178,Uncharacterized oxidoreductase ybiC,ybiC,>sp|P30178|YBIC_ECOLI Uncharacterized oxidoreductase ybiC OS=Escherichia coli (strain K12) GN=ybiC PE=1 SV=2,1,18.24995689,15.06431356,30.68135864,21.33187636
P0ACU0,Uncharacterized HTH-type transcriptional regulator ybiH,ybiH,>sp|P0ACU0|YBIH_ECOLI Uncharacterized HTH-type transcriptional regulator ybiH OS=Escherichia coli (strain K12) GN=ybiH PE=4 SV=1,1,19.49826669,27.43755355,31.53948218,26.15843414
P75785,Putative phosphoethanolamine transferase ybiP,ybiP,>sp|P75785|YBIP_ECOLI Putative phosphoethanolamine transferase ybiP OS=Escherichia coli (strain K12) GN=ybiP PE=1 SV=1,1,0,1.984560198,0.976354386,0.986971528
P0AAX8,"Probable L,D-transpeptidase YbiS",ybiS,">sp|P0AAX8|YBIS_ECOLI Probable L,D-transpeptidase YbiS OS=Escherichia coli (strain K12) GN=ybiS PE=1 SV=1",1,316.9395672,252.6077658,264.4841364,278.0104898
P0A9U3,Uncharacterized ABC transporter ATP-binding protein YbiT,ybiT,>sp|P0A9U3|YBIT_ECOLI Uncharacterized ABC transporter ATP-binding protein YbiT OS=Escherichia coli (strain K12) GN=ybiT PE=3 SV=1,1,147.9226294,109.4913388,141.8124495,133.0754725
P75793,Putative formate acetyltransferase 3,ybiW,>sp|P75793|PFLF_ECOLI Putative formate acetyltransferase 3 OS=Escherichia coli (strain K12) GN=ybiW PE=3 SV=1,1,1.06635771,2.297568946,1.090996015,1.484974224
P75828,Uncharacterized protein ybjD,ybjD,>sp|P75828|YBJD_ECOLI Uncharacterized protein ybjD OS=Escherichia coli (strain K12) GN=ybjD PE=4 SV=1,1,80.79051068,56.74300775,91.63314903,76.38888915
P75809,Phosphatase YbjI,ybjI,>sp|P75809|YBJI_ECOLI Phosphatase YbjI OS=Escherichia coli (strain K12) GN=ybjI PE=1 SV=3,1,458.490039,353.6425242,435.368966,415.8338431
P60869,Putative transport protein YbjL,ybjL,>sp|P60869|YBJL_ECOLI Putative transport protein YbjL OS=Escherichia coli (strain K12) GN=ybjL PE=3 SV=1,1,1.45778887,2.533563652,1.827948702,1.939767075
P0AAY6,Uncharacterized protein ybjN,ybjN,>sp|P0AAY6|YBJN_ECOLI Uncharacterized protein ybjN OS=Escherichia coli (strain K12) GN=ybjN PE=4 SV=1,1,17.73924775,13.1928187,11.52495978,14.15234208
P75818,Uncharacterized lipoprotein ybjP,ybjP,>sp|P75818|YBJP_ECOLI Uncharacterized lipoprotein ybjP OS=Escherichia coli (strain K12) GN=ybjP PE=1 SV=1,1,84.94127597,76.86447546,73.86708499,78.55761214
P75821,Uncharacterized protein ybjS,ybjS,>sp|P75821|YBJS_ECOLI Uncharacterized protein ybjS OS=Escherichia coli (strain K12) GN=ybjS PE=4 SV=2,1,44.9113692,37.68349643,51.65207384,44.74897982
P75822,Uncharacterized protein ybjT,ybjT,>sp|P75822|YBJT_ECOLI Uncharacterized protein ybjT OS=Escherichia coli (strain K12) GN=ybjT PE=4 SV=2,1,4.087594837,3.967150779,8.298352295,5.451032637
P75829,Uncharacterized protein ybjX,ybjX,>sp|P75829|YBJX_ECOLI Uncharacterized protein ybjX OS=Escherichia coli (strain K12) GN=ybjX PE=4 SV=1,1,1.182770382,3.250464733,1.434070399,1.955768505
P75838,UPF0142 protein ycaO,ycaO,>sp|P75838|YCAO_ECOLI UPF0142 protein ycaO OS=Escherichia coli (strain K12) GN=ycaO PE=3 SV=2,1,136.894536,102.4457021,179.7599184,139.7000522
P0AAZ7,UPF0434 protein ycaR,ycaR,>sp|P0AAZ7|YCAR_ECOLI UPF0434 protein ycaR OS=Escherichia coli (strain K12) GN=ycaR PE=1 SV=1,1,4.599092387,8.044620591,0,4.214570992
P0AB01,Uncharacterized protein ycbC,ycbC,>sp|P0AB01|YCBC_ECOLI Uncharacterized protein ycbC OS=Escherichia coli (strain K12) GN=ycbC PE=4 SV=1,1,0,3.815067538,3.141217524,2.318761687
P0AB03,Uncharacterized protein ycbJ,ycbJ,>sp|P0AB03|YCBJ_ECOLI Uncharacterized protein ycbJ OS=Escherichia coli (strain K12) GN=ycbJ PE=4 SV=1,1,159.12875,120.7103015,140.7221674,140.187073
P0AB06,Uncharacterized protein ycbK,ycbK,>sp|P0AB06|YCBK_ECOLI Uncharacterized protein ycbK OS=Escherichia coli (strain K12) GN=ycbK PE=4 SV=1,1,266.0886277,292.4467264,211.514148,256.6831674
P75849,Uncharacterized protein ycbL,ycbL,>sp|P75849|YCBL_ECOLI Uncharacterized protein ycbL OS=Escherichia coli (strain K12) GN=ycbL PE=3 SV=1,1,99.04245389,78.90153249,57.6551172,78.53303453
P75863,Uncharacterized protein ycbX,ycbX,>sp|P75863|YCBX_ECOLI Uncharacterized protein ycbX OS=Escherichia coli (strain K12) GN=ycbX PE=1 SV=1,1,12.10130675,24.73014715,30.08202068,22.30449153
P75867,Putative Lon protease homolog,ycbZ,>sp|P75867|LONH_ECOLI Putative Lon protease homolog OS=Escherichia coli (strain K12) GN=ycbZ PE=3 SV=1,1,3.118283072,10.75215522,7.81218015,7.227539482
P0AB12,Inner membrane protein yccF,yccF,>sp|P0AB12|YCCF_ECOLI Inner membrane protein yccF OS=Escherichia coli (strain K12) GN=yccF PE=1 SV=1,1,156.6995497,97.20232647,109.6058411,121.1692391
