# Generated from the following BioVelo query on EcoCyc, 12:28pm, November 3, 2024: html-sort-ascending(html-table-headers([(x^?name, x^?frame-id, x^regulated-by, [c: c<-x^components, c isa DNA-Binding-Sites]) : x<-ECOLI^^Transcription-Units,  !(classp x), Evidence := (evidence x), [e:e<-Evidence]], ("Name", "Frame ID", "Regulated by", "DNA Binding Sites", "Evidence")), 2)
cyaY	TU0-14229
pspF	TU0-1802		PspF DNA-binding-site 27 bases downstream of pspFp1,PspF DNA-binding-site 7 bases downstream of pspFp1
yihW	TU0-42682
ydeQ	TU0-13293
setC	TU0-14008
galET	TU0-42582
eda	TU27		PhoB-P<sup>asp53</sup> DNA-binding-site 53 bases upstream of edap3
yagP	TU0-12875
insNI1	TU0-12862
fimB	TU00409	Regulation of fimB by small regulatory RNA MicA	H-NS DNA-binding-site regulating fimBp1
pykF	TU0-45163
recG	TU0-42470	Regulation of recG by DNA-binding transcriptional regulator CreB-phosphorylated
yeeJ	TU0-13472
relBE-hokD	TU0-14381
ecpBCDE	TU0-14611
ybcV	TU0-12979
yhdT-panF-prmA	TU00314
yccA	TU0-13105		CpxR-phosphorylated DNA-binding-site 53 bases upstream of yccAp
topA	TU0-2503
damX-dam-rpe-gph-trpS	TU874
yidB	TU0-14020	Regulation of yidB by DNA-binding transcriptional repressor GlaR
bdm-sra	TU0-7141		P<SUP>asp56</SUP> RcsB DNA-binding-site 41.5 bases upstream of bdmp
selAB	TU00355	Regulation of selAB by SelB-L-selenocysteinyl-tRNA<sup>sec</sup>
yecV	TU0-198720
galET	TU0-42581
murQP-yfeW	TU0-13625
asnC	TU00113		Nac DNA-binding-site 16 bases downstream of asnCp,Nac DNA-binding-site 64 bases upstream of asnCp,Nac DNA-binding-site 7 bases upstream of asnCp
yghZ	TU0-8754
cysQ	TU0-14162	Regulation of cysQ by DNA-binding transcriptional dual regulator Nac,Regulation of cysQ by ppGpp
rydB	TU0-13367
proQ-prc	TU0-13425
insL1	TU0-12793
yeeA	TU0-13486
hiuH-msrPQ	TU0-13468
rsmA-apaGH	TU0-5186
ptsHI-crr	TU00482		Cra DNA-binding-site 55.5 bases upstream of ptsHp1,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 42.5 bases upstream of ptsHp1
yeiI	TU0-14304
ybeF	TU0-13005
gpp	TU0-14036
ynfD	TU0-13336	Regulation of ynfD by ppGpp
yafS	TU0-8543
yjiJ	TU0-14200
mdoGH	TU0-4143
rhaSR	TU0-45202		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 111.5 bases upstream of rhaSp2,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 92.5 bases upstream of rhaSp2,RhaR-rhamnose DNA-binding-site 40 bases upstream of rhaSp2,RhaR-rhamnose DNA-binding-site 74 bases upstream of rhaSp2
amiA-hemF	TU0-2741		IHF DNA-binding-site 20.5 bases downstream of amiAp
ansB	TU00075		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 91.5 bases upstream of ansBp2,Fnr DNA-binding-site 41.5 bases upstream of ansBp2
ptsHI-crr	TU00479		Mlc DNA-binding-site 13 bases downstream of ptsHp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 63.5 bases upstream of ptsHp
dapE-ypfN	TU0-14404
yceQ	TU0-13133
hslJ	TU0-13241		DNA-binding transcriptional dual regulator CysB DNA-binding-site 16 bases upstream of hslJp
yodD	TU0-8648
pflB	TU00380
yjiK	TU0-14201
trpt	TU0-14371
yhbQ	TU0-8576
ileS-lspA-fkpB-ispH	TU0-14465
yebC-ruvC	TU0-8241
yeaO	TU0-13405
aroM	TU0-44218
ubiX	TU0-14520
lon	TU0-4931
pepB	TU0-13656
cstA	TU0-6823		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 89.5 bases upstream of cstAp1
proC	TU0-8493
sokC	TU0-12795
ybhP-clsB-ybhN	TU0-13049	Regulation of ybhP-clsB-ybhN by ppGpp
dnaTC	TU0-8868
glyU	TU0-13770
fabG-acpP	TU443
ydiL	TU0-13371
kdsC-lptCAB	TU0-14291
gntK	TU0-42512
nrdR-ribDE-nusB-thiL-pgpA	TU0-12921
yjhE	TU0-14184
nudE	TU0-8815
ymbA	TU0-14325
yhjY	TU0-13977
patZ	TU0-42472
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	TU0-6223		Fis DNA-binding-site 75 bases upstream of metYp1
suhB	TU0-13658
insG	TU0-8830
miaA-hfq-hflXKC	TU0-14565
gyrB	TU0-2603		Fis DNA-binding-site 109 bases upstream of gyrBp2,Fis DNA-binding-site 62 bases upstream of gyrBp2
yfdY	TU0-8734
rdlD	TU0-13973
ortT	TU0-13269	Regulation of ortT by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
yobD	TU0-13419
rpsU-dnaG-rpoD	TU00435		LexA DNA-binding-site 4.5 bases downstream of rpsUp3
pdxI	TU0-13248
gntP	TU0-4961		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 20.5 bases upstream of gntPp,UxuR DNA-binding-site 130.5 bases upstream of gntPp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 126.5 bases upstream of gntPp,UxuR DNA-binding-site 24.5 bases upstream of gntPp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 41.5 bases upstream of gntPp
ycgM	TU0-13170
asnW	TU0-3561
spf-spfP	TU797		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 84.5 bases upstream of spfp
ydjXYZ-ynjABCD	TU0-13388
cyaR	TU0-45185
pdeL	TU0-45142
insMI3	TU0-14186
yjbEFGH	TU0-14287		IHF DNA-binding-site 133 bases upstream of yjbEp1,RcsAB DNA-binding-site 209 bases upstream of yjbEp1
uspC	TU0-8535	Regulation of uspC by DNA-binding transcriptional dual regulator Nac,Regulation of uspC by ppGpp
yoaA	TU0-13414
insC5CD5D5-yqiHIG	TU0-13843
insE4F4EF4	TU0-13117
xerD-dsbC-recJ	TU0-45199
alkB	TU00073
hycABCDEFGHI	TU00153		ModE-MoO<sub>4</sub><sup>2-</sup> DNA-binding-site 192 bases upstream of hycAp,FhlA-formate DNA-binding-site 98 bases upstream of hycAp,IHF DNA-binding-site 127.5 bases upstream of hypAp
dnaN-recF	TU0-1193
creABCD	TU00253
isrC	TU0-14334
yidP	TU0-8597
dkgB	TU0-12839
feoABC	TU00269		DNA-binding transcriptional dual regulator Fur DNA-binding-site 17 bases upstream of feoAp,Fnr DNA-binding-site 90.5 bases upstream of feoAp
rfaDFCL	TU0-4181
ygfZ	TU0-8749
endA	TU00453
yoaH	TU0-8645
fliLMNOPQR	TU00276		FlhDC DNA-binding-site 51 bases upstream of fliLp1
gabDTP	TU0-1921	Regulation of gabDTP by ppGpp	Nac DNA-binding-site 44 bases upstream of gabDp
tolC-ygiBC	TU0-13838
yibF	TU0-13988
ygjV	TU0-13861
torI	TU0-13607	Regulation of torI by DNA-binding transcriptional dual regulator Nac
dinB-yafNOP	TU0-45217
gshA	TU0-13714	Regulation of gshA by putrescine
yddAB	TU0-13290	Regulation of yddAB by [2Fe-2S] cluster DNA-binding transcriptional dual regulator
htgA	TU00405
rfaH	TU0-8499	Regulation of rfaH by DNA-binding transcriptional dual regulator Nac
dacA	TU0-13008
hinT-ycfL-lpoB-thiK-nagZ-ycfP	TU0-13136
aspA	TU00160		NarL-P<sup>asp59</sup> DNA-binding-site 67 bases upstream of aspAp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 90.5 bases upstream of aspAp,Fnr DNA-binding-site 40.5 bases upstream of aspAp
ybiJ	TU0-13052	Regulation of ybiJ by DNA-binding transcriptional activator YhaJ
mcbA	TU0-13056
yccU	TU0-8680	Regulation of yccU by DNA-binding transcriptional repressor GlaR,Regulation of yccU by ppGpp
yjhV	TU0-14188
insL3	TU0-13617
yfiRN	TU0-14765
ruvC	TU0-8242
tabA	TU0-14173
hchA	TU0-13466	Regulation of hchA by ppGpp	H-NS DNA-binding-site regulating hchAp1
ppiD	TU0-6622		CpxR-phosphorylated DNA-binding-site 165 bases upstream of ppiDp2,CpxR-phosphorylated DNA-binding-site 117 bases upstream of ppiDp2,CpxR-phosphorylated DNA-binding-site 96.5 bases upstream of ppiDp2
adhE	TU00198		NarL-P<sup>asp59</sup> DNA-binding-site 90 bases downstream of adhEp,Fis DNA-binding-site 148 bases upstream of adhEp,Fis DNA-binding-site 68 bases upstream of adhEp,Fis DNA-binding-site 42 bases upstream of adhEp,NarL-P<sup>asp59</sup> DNA-binding-site 81 bases downstream of adhEp,Cra DNA-binding-site 36.5 bases downstream of adhEp
pdeL	TU0-14408
ybiA	TU0-8567
yidHGF	TU0-14014
pheV	TU00501		Fis DNA-binding-site 75 bases upstream of pheVp
yjjY	TU0-12785
rpsO-pnp	TU0-6660
murJ	TU0-13132
rpoE-rseABC	TU0-42636
mqo	TU0-13559	Regulation of mqo by DNA-binding transcriptional dual regulator ArcA-phosphorylated
metY	TU0-8476
ushA	TU0-8534
lpp	TU0-6509
dnaQ	TU0-12843
frr	TU0-42525
asnT	TU00497
sdsN	TU0-42620
insC1CD1D1	TU0-12904
stfE-tfaE	TU0-13152
ansP	TU0-8148
yjdIJ	TU0-14137
yqgC	TU0-8653
yhgF	TU0-13932
ydcF	TU0-13252
mdh	TU00108		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 60.5 bases upstream of mdhp1,ArcA-P<sup>asp54</sup> DNA-binding-site 27 bases downstream of mdhp1
nikABCDER	TU0-14783
mdtUJI	TU0-13343	Regulation of mdtUJI by AcrR-3,6-diaminoacridine,Regulation of mdtUJI by AcrR-3,6-diaminoacridine
pdeG	TU0-13163	Regulation of pdeG by DNA-binding transcriptional repressor GlaR
yjfY	TU0-8613	Regulation of yjfY by DNA-binding transcriptional repressor GlaR,Regulation of yjfY by ppGpp
zur	TU0-8667
glgCAP	TU00469	Regulation of glgCAP by carbon storage regulator CsrA,Regulation of glgCAP by carbon storage regulator CsrA
ugpBAECQ	TU0-5982		PhoB-P<sup>asp53</sup> DNA-binding-site 52 bases upstream of ugpBp1,PhoB-P<sup>asp53</sup> DNA-binding-site 26 bases upstream of ugpBp2,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 26.5 bases upstream of ugpBp2
eco	TU0-8790
tsaB-yeaY	TU0-13413
nei	TU0-44220
yhhY	TU0-7662		DNA-binding transcriptional dual regulator Fur DNA-binding-site 18 bases upstream of yhhXp5
yejG	TU0-42565
thrL	TU0-42486
peaD	TU0-12970
azuCR	TU0-14767	Regulation of azuCR by small regulatory RNA FnrS
gspAB	TU0-14375
rlhA	TU0-13265
tas	TU0-13750
ryfA-timP	TU0-13654
tldE	TU0-14167
orn	TU0-14151	Regulation of orn by DNA-binding transcriptional repressor GlaR
citR-ybdNM	TU0-194010	Regulation of citR-ybdNM by DNA-binding transcriptional repressor CitR
uspA	TU00433
ypeC	TU0-13616
yecH	TU0-8717
radA-nadR	TU0-14225
yiiR	TU0-14082
bioH	TU0-8772
hdeAB-yhiD	TU0-45242	Regulation of hdeAB-yhiD by ppGpp	GadX DNA-binding-site 94.5 bases upstream of hdeDp2,MarA DNA-binding-site 39 bases upstream of hdeAp2,H-NS DNA-binding-site 118 bases upstream of hdeAp2,TorR-P<SUP>asp</SUP> DNA-binding-site 27.5 bases upstream of hdeAp2
ynfEFGH-dmsD	TU0-45246		Fnr DNA-binding-site 40.5 bases upstream of ynfEp2
trxA	TU0-3103
rdgB-yggW	TU0-14491
tesB	TU0-8528
flk	TU0-5184
ygdQ	TU0-13748	Regulation of ygdQ by small regulatory RNA MgrR
eno	TU0-14821
tatE	TU0-13003
yedS	TU0-13464
fxsA	TU0-1721
yjcE	TU0-14124
narUZYWV	TU0-194009	Regulation of narUZYWV by DNA-binding transcriptional dual regulator OmpR-phosphorylated
yafU	TU0-8544
sfmHF	TU0-12968
hcp-hcr-poxB	TU0-42650
melAB	TU00131		MelR DNA-binding-site 238.5 bases upstream of melAp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 195.5 bases upstream of melAp,MelR-melibiose DNA-binding-site 120.5 bases upstream of melAp,MelR-melibiose DNA-binding-site 100.5 bases upstream of melAp,MelR-melibiose DNA-binding-site 62.5 bases upstream of melAp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 81.5 bases upstream of melAp,MelR-melibiose DNA-binding-site 42.5 bases upstream of melAp
yedRJ	TU0-13463
ydjLKJIHG	TU0-13394
setB	TU0-14239
yigGF	TU0-14043
acnA	TU0-45169
sucAB	TU0-42509
creD	TU0-14683
cueR	TU0-12955
glvCBG-ysdC	TU0-14016
mutY-yggX-mltC	TU0-5568
yghW	TU0-13820
narU	TU0-2649	Regulation of narU by ppGpp
hlpA-lpxD-fabZ-lpxA	TU0-4146		CpxR-phosphorylated DNA-binding-site 101 bases upstream of hlpAp
exuR	TU0-42612
putP	TU103
rclBC	TU0-12884
rrlA-rrfA	TU0-14533
glnK-amtB	TU587		NtrC phosphorylated dimer DNA-binding-site 87 bases upstream of glnKp
ygfTS	TU0-13784
trmA	TU00430		Fis DNA-binding-site 47 bases upstream of trmAp
hfq-hflXKC	TU0-14567
ivy	TU0-8840	Regulation of ivy by DNA-binding transcriptional dual regulator Nac
ygdG	TU0-13740
qmcA-ybbJ	TU0-12956
yjcF	TU0-14125	Regulation of yjcF by DNA-binding transcriptional dual regulator Nac
ssrS	TU0-36424
yiiQ	TU0-14081
yfhH	TU0-13668
rplJL-rpoBC	TU00335
dam-rpe-gph-trpS	TU876
ygeA	TU0-13754
holD-rimI-yjjG	TU0-14216
rpoE-rseABC	TU00342
gsk	TU0-8806
cyaR	TU0-13506
dusC	TU0-13534
fixABCX	TU142		Fnr DNA-binding-site 90.5 bases upstream of caiTp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 126.5 bases upstream of fixAp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 69.5 bases upstream of fixAp
yrfG-hslR	TU0-13929
rnhA	TU0-6685
thrS-infC-rpmI-rplT-pheMST-ihfA	TU0-14257
ybiN	TU0-8568	Regulation of ybiN by DNA-binding transcriptional dual regulator Nac
gcd	TU0-7001
hicAB	TU0-45145
ychF	TU0-1782
tig	TU0-14252
ydhIJK	TU-8428
yrhB	TU0-13941	Regulation of yrhB by DNA-binding transcriptional dual regulator Nac
yjaG	TU0-14104
sgrST-setA	TU0-45190		SgrR DNA-binding-site 53.5 bases upstream of sgrSp2
ybiI	TU0-13053
gcvP	TU0-14509
ecpBCDE	TU0-12878
mcrA	TU0-13154
yjjN	TU0-8628	Regulation of yjjN by CRP-cyclic-AMP DNA-binding transcriptional dual regulator,Regulation of yjjN by ExuR-&alpha;-D-galacturonate, &alpha;-D-glucuronate-DNA-binding transcriptional repressor,Regulation of yjjN by DNA-binding transcriptional repressor UxuR
arcZ	TU0-8517
uhpB	TU0-44221
aldA	TU102		Fnr DNA-binding-site 10.5 bases upstream of aldAp,ArcA-P<sup>asp54</sup> DNA-binding-site 137 bases upstream of aldAp,ArcA-P<sup>asp54</sup> DNA-binding-site 13 bases downstream of aldAp,ArcA-P<sup>asp54</sup> DNA-binding-site 2 bases downstream of aldAp,DnaA-ATP DNA-binding-site 7.5 bases upstream of aldAp,ArcA-P<sup>asp54</sup> DNA-binding-site 5 bases upstream of aldAp,ArcA-P<sup>asp54</sup> DNA-binding-site 157 bases upstream of aldAp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 59.5 bases upstream of aldAp
torYZ	TU684
nudK	TU0-13639
ygbN	TU0-13723
ydcY	TU0-13270
anmK	TU0-13355
degQ	TU0-42560
zapA	TU0-13793
yoaI	TU0-8646
gspCDEFGHIJKLMO	TU0-14374
tyrS-pdxY	TU0-8865
kefFC	TU0-12800
glmY	TU0-14775
rnpB	TU543		Fis DNA-binding-site 11 bases downstream of rnpBp,Fis DNA-binding-site 50 bases upstream of rnpBp,Fis DNA-binding-site 118 bases upstream of rnpBp,Fis DNA-binding-site 156 bases upstream of rnpBp
lpxC	TU0-12809
psd-mscM	TU0-3424		CpxR-phosphorylated DNA-binding-site 151 bases downstream of psdp
hofMNOP	TU0-13927
ispDF	TU0-14313
hypABCDE	TU00154		FhlA-formate DNA-binding-site 751.5 bases upstream of hypAp,IHF DNA-binding-site 127.5 bases upstream of hypAp
treA	TU00396	Regulation of treA by ppGpp
rluB	TU0-13195
ytjB-lplA	TU0-6630
carAB	TU00110		PepA DNA-binding-site 79 bases upstream of carAp1,PurR-hypoxanthine DNA-binding-site 128.5 bases upstream of carAp1,PepA DNA-binding-site 173 bases upstream of carAp1,IHF DNA-binding-site 305 bases upstream of carAp1
yieG	TU0-8601
metNIQ	TU0-2302		MetJ-SAM DNA-binding-site 25.5 bases upstream of metNp,MetJ-SAM DNA-binding-site 17.5 bases upstream of metNp
hrpB	TU0-12819
kgtP	TU0-13674	Regulation of kgtP by small regulatory RNA GcvB,Regulation of kgtP by DNA-binding transcriptional dual regulator ArcA-phosphorylated
oppBCDF	TU0-45147
ompC	TU00477	Regulation of ompC by small regulatory RNA RseX,Regulation of ompC by small regulatory RNA RybB,Regulation of ompC by small regulatory RNA MicC	Lrp DNA-binding-site 319 bases upstream of ompCp3,Lrp DNA-binding-site 87.5 bases downstream of micFp2,Lrp DNA-binding-site 58.5 bases downstream of micFp2,Lrp DNA-binding-site 27.5 bases downstream of micFp2,Lrp DNA-binding-site 151 bases upstream of ompCp3,Lrp DNA-binding-site 28 bases downstream of ompCp3,Lrp DNA-binding-site 59 bases downstream of ompCp3,Lrp DNA-binding-site 121.5 bases downstream of ompCp3,Lrp DNA-binding-site 143 bases downstream of ompCp3,IHF DNA-binding-site 72 bases upstream of micFp2
relBE	TU0-13325
yjfZ	TU0-8614
grxC	TU0-13996
acrZ	TU0-13041
ybjD	TU0-8670
pgl	TU0-8101
yohF	TU0-13531
ycgH	TU0-13165
yegJ	TU0-8725
carAB	TU00109	Regulation of carAB by DNA-binding transcriptional dual regulator CpxR-phosphorylated	ArgR-arg DNA-binding-site 8.5 bases upstream of carAp2,ArgR-arg DNA-binding-site 13.5 bases downstream of carAp2
ydfV	TU0-13326
micL	TU0-42576
recA	TU00062		LexA DNA-binding-site 20 bases upstream of recAp
topAI-yjhQ	TU0-14195
araFGH	TU0-42451
cirA	TU00015	Regulation of cirA by small regulatory RNA OmrB,Regulation of cirA by small regulatory RNA OmrA	DNA-binding transcriptional dual regulator Fur DNA-binding-site 17 bases upstream of cirAp1,DNA-binding transcriptional dual regulator Fur DNA-binding-site 35 bases upstream of cirAp1,DNA-binding transcriptional dual regulator Fur DNA-binding-site 29 bases upstream of cirAp1
ynfEFGH-dmsD	TU0-5481		Fnr DNA-binding-site 40.5 bases upstream of ynfEp2
gntT	TU0-4928		GntR DNA-binding-site 86.5 bases downstream of gntTp2,GntR DNA-binding-site 55.5 bases upstream of gntTp2,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 112.5 bases upstream of gntTp2
yjjK	TU0-8627
rne	TU-8407	Regulation of rne by ribonuclease E
livKHMGF	TU00457
degS	TU0-42561
yfiC	TU0-8740
iaaA-gsiABCD	TU0-13063
nrdG	TU0-14501
gcd	TU0-2042		IHF DNA-binding-site 73 bases upstream of gcdp1,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 31.5 bases upstream of gcdp1
garR	TU0-42699
sstT	TU0-13860	Regulation of sstT by small regulatory RNA GcvB
proX	TU0-198744
ydjE	TU0-13392
asnV	TU00499
yhbO	TU0-8574	Regulation of yhbO by DNA-binding transcriptional dual regulator Rob,Regulation of yhbO by ppGpp
rhlE	TU0-8500	Regulation of rhlE by DNA-binding transcriptional dual regulator CecR
yhiN	TU0-8587
yfcD	TU0-13585
yahDEFG	TU0-12892
yciGFE	TU0-13193		H-NS DNA-binding-site 88.5 bases upstream of yciGp
yjiV	TU0-14207
yfeKS	TU-8383
zntB	TU0-13223
gapA	TU0-42481
xapB	TU0-44212
ybaA	TU0-12939	Regulation of ybaA by ppGpp
yceJI	TU0-13126
ulaG	TU0-5163		IHF DNA-binding-site regulating ulaGp,UlaR DNA-binding-site 0.5 bases upstream of ulaGp,UlaR DNA-binding-site 25.5 bases downstream of ulaGp
yibIH	TU0-13992
glgCAP	TU00122	Regulation of glgCAP by carbon storage regulator CsrA,Regulation of glgCAP by carbon storage regulator CsrA	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating glgCp1
sbcDC	TU0-12917
astCADBE	TU0-1004
yncH	TU0-13275
ridA	TU0-14169
yfbP	TU0-13578
bamC	TU0-4161
bglH-yieLK	TU0-14028
ybdN	TU0-12993
ygcG	TU0-8338
uof-fur	TU0-1281	Regulation of uof-fur by small regulatory RNA RyhB	SoxS DNA-binding-site 61.5 bases upstream of uofp,OxyR DNA-binding-site 62 bases upstream of uofp
pnp	TU0-6654	Regulation of pnp by 30S ribosomal subunit protein S1,Regulation of pnp by polynucleotide phosphorylase
rsmG	TU0-42479
rttR	TU0-13181
iraD	TU0-14766	Regulation of iraD by carbon storage regulator,Regulation of iraD by carbon storage regulator
hemF	TU0-2742		IHF DNA-binding-site 8 bases downstream of hemFp1
zipA	TU0-13621
lpxL	TU0-901
hcaT	TU0-13660
yggX-mltC-nupG	TU0-5564
ybdF	TU0-12987
dtpC	TU0-14139
ligB	TU0-8847	Regulation of ligB by DNA-binding transcriptional dual regulator Nac
surA-pdxA-rsmA-apaGH	TU00362
yqgB	TU0-14326
fbp	TU0-8336
yhjV	TU0-13974
yheO-tusDCB	TU0-13915
narU	TU0-2661
yciE	TU0-36411
lysC	TU0-6552	Regulation of lysC by D-lysine
ttdABT	TU00368
ygiZ	TU0-8758
thiMD	TU0-13512	Regulation of thiMD by thiamine diphosphate
ybeR-djlB	TU0-13011
chaC	TU0-14458
ybdK	TU0-12989	Regulation of ybdK by DNA-binding transcriptional dual regulator Nac,Regulation of ybdK by ppGpp
yzcX	TU0-14041
tufA	TU0-36426
yggI	TU0-13804
greB	TU0-13931	Regulation of greB by DNA-binding transcriptional dual regulator Nac
agrB	TU0-42530
ygdR	TU0-13749	Regulation of ygdR by DNA-binding transcriptional dual regulator Nac
micF	TU0-2644		Rob DNA-binding-site 40 bases upstream of micFp2,IHF DNA-binding-site 72 bases upstream of micFp2,Lrp DNA-binding-site 87.5 bases downstream of micFp2,SoxS DNA-binding-site 38.5 bases upstream of micFp2,SoxS DNA-binding-site 119.5 bases upstream of micFp2,Lrp-leu DNA-binding-site 122 bases downstream of micFp2,Lrp DNA-binding-site 58.5 bases downstream of micFp2,Lrp DNA-binding-site 27.5 bases downstream of micFp2,MarA DNA-binding-site 40 bases upstream of micFp2
ychS	TU0-13180
yadV-htrE	TU00403
ydiJ-menI-ydiH	TU0-13368
yfiS	TU0-198732
yjjB-dnaTC	TU0-8869
diaA	TU0-14343
ompG	TU0-13213
yneL	TU0-13295
eutHA	TU0-13634	Regulation of eutHA by antitoxin/DNA-binding transcriptional repressor HipB,Regulation of eutHA by antitoxin/DNA-binding transcriptional repressor HipB
deoBD	TU0-6646
yacC-speED	TU00359
mdtNOP	TU0-14128
xerD	TU0-13787
dgcJ	TU0-13402
gspAB	TU0-14376		H-NS DNA-binding-site regulating gspAp1
potFGHI	TU0-14459
pykA	TU0-45220
sdiA	TU0-42466
ddpXABCDF	TU0-3623		NtrC-P<sup>asp</sup> DNA-binding-site 109 bases upstream of ddpXp1
yhcF	TU0-13893
ydaGF	TU0-13229
mppA	TU0-13218	Regulation of mppA by DNA-binding transcriptional repressor PgrR
fabDG-acpP	TU442
rcsB	TU00327
xapAB	TU301		DNA-binding transcriptional activator XapR DNA-binding-site 119 bases upstream of xapAp2,DNA-binding transcriptional activator XapR DNA-binding-site 39 bases upstream of xapAp2
ldtA	TU0-13478
rrsC-gltU-rrlC-rrfC	TU0-1184
bdcA	TU0-14171
pqiABC	TU0-45186
ucpA	TU0-14643
rseD-rpoE-rseABC	TU281		CpxR-phosphorylated DNA-binding-site 67 bases downstream of rseDp4
nemRA	TU0-14687
yfaXWVU	TU0-14691
murB-birA	TU0-14099
yqjA-mzrA	TU0-14286		CpxR-phosphorylated DNA-binding-site 47 bases upstream of yqjAp1
rpoS	TU0-14652
fumAC	TU0-42499
opgD	TU0-13259
pdxA-rsmA	TU0-5221
yccX	TU0-8681
yfgF	TU0-8738
pncC	TU0-13718
glpABC	TU00030		Fnr DNA-binding-site 131.5 bases upstream of glpTQp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 131.5 bases upstream of glpTQp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 41.5 bases upstream of glpTQp,Fnr DNA-binding-site 91.5 bases upstream of glpTQp,GlpR DNA-binding-site 41.5 bases upstream of glpTQp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 91.5 bases upstream of glpTQp,GlpR DNA-binding-site 81.5 bases upstream of glpTQp,GlpR DNA-binding-site 113.5 bases upstream of glpTQp,GlpR DNA-binding-site 132.5 bases upstream of glpTQp,GlpR DNA-binding-site 172.5 bases upstream of glpTQp
digH	TU0-13288
gadEF-mdtEF	TU0-5682	Regulation of gadEF-mdtEF by ppGpp	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 19.5 bases upstream of gadEp2,YdeO DNA-binding-site regulating gadEp2,EvgA-P<sup>asp</sup> DNA-binding-site regulating gadEp2,GadE DNA-binding-site 198.5 bases upstream of gadEp2,GadE DNA-binding-site 63.5 bases upstream of gadEp2,GadE DNA-binding-site 30.5 bases upstream of gadEp2
yadMLKC	TU0-14300
aspC	TU0-6482
mqsRA	TU0-14791
pcnB-folK	TU0-8361
metY	TU343
cysG	TU0-6
ppiA	TU00464		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 12.5 bases downstream of ppiAp4,CytR DNA-binding-site 10.5 bases upstream of ppiAp4,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 60.5 bases upstream of ppiAp3
glmY	TU0-13666
ybeM	TU0-13002
arfA	TU0-13910
yiaKLMNO-lyx-sgbHUE	TU592		PlaR DNA-binding-site 55 bases upstream of plaRp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 62.5 bases downstream of yiaKp1,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 50.5 bases downstream of plaRp,IHF DNA-binding-site 49.5 bases upstream of yiaKp1
garD	TU0-4461
gstB	TU0-8633
ydcA	TU0-13254
ybfL	TU0-13029
rpiB	TU0-4483		AlsR DNA-binding-site regulating rpiBp
bolA	TU0-14251
rpsA-ihfB	TU565
mdtL	TU0-14022
ybeD-lipB	TU0-45272
ileS-lspA-fkpB-ispH	TU0-14395
ibpAB	TU00407	Regulation of ibpAB by small heat shock protein IbpA
agaSYBCDI	TU0-6583		AgaR DNA-binding-site 274.5 bases upstream of agaSp,AgaR DNA-binding-site 211.5 bases upstream of agaSp,AgaR DNA-binding-site 94.5 bases upstream of agaSp,AgaR DNA-binding-site 52.5 bases upstream of agaSp,AgaR DNA-binding-site 21.5 bases upstream of agaSp,AgaR DNA-binding-site 22.5 bases downstream of agaSp
arrS	TU0-45194
pdxY	TU0-14496
insC6CD6D6	TU0-14179
yhhT	TU0-13946
gltF	TU0-45146	Regulation of gltF by DNA-binding transcriptional dual regulator LeuO
ynfC	TU0-8639
nac	TU65		NtrC-P<sup>asp</sup> DNA-binding-site 152 bases upstream of nacp,Nac DNA-binding-site 75 bases upstream of nacp
