Transcription Factor Binding Sites	Abs-Center-Pos	Involved-In-Regulation
IHF DNA-binding-site 159 bases upstream of aceBp	4215243	Regulation of aceBp by DNA-binding transcriptional dual regulator IHF
YdeO DNA-binding-site 41 bases upstream of gadEp3	3657759	Regulation of gadEp3 by DNA-binding transcriptional dual regulator YdeO
AcrR-proflavin DNA-binding-site 107.5 bases downstream of mdtJp	1673672.5	Regulation of mdtUJI by AcrR-3,6-diaminoacridine
CpxR-phosphorylated DNA-binding-site 5 bases upstream of cpxPp	4105780	Regulation of cpxPp by DNA-binding transcriptional dual regulator CpxR-phosphorylated
GalR DNA-binding-site 136.5 bases downstream of galPp	3088390.5	Regulation of galPp by DNA-binding transcriptional dual regulator GalR
Fis DNA-binding-site 102 bases upstream of rrsBp	4166265	Regulation of rrsBp by DNA-binding transcriptional dual regulator Fis // Regulation of rrsBp1 by DNA-binding transcriptional dual regulator Fis
YqhC DNA-binding-site 52.5 bases upstream of yqhDp	3155249.5	Regulation of yqhDp by DNA-binding transcriptional activator YqhC
MetJ-SAM DNA-binding-site 17.5 bases downstream of ahpCp1	638937.5d0	Regulation of ahpCp1 by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine
PhoP-Pasp51 DNA-binding-site 44 bases upstream of rstAp	1682094	Regulation of rstAp by DNA-binding transcriptional dual regulator PhoP-phosphorylated
GalS DNA-binding-site 52.5 bases downstream of galEp	792029.5	Regulation of galEp by DNA-binding transcriptional dual regulator GalS // Regulation of galEp1 by DNA-binding transcriptional dual regulator GalS // Regulation of galEp2 by DNA-binding transcriptional dual regulator GalS
ArgR-arg DNA-binding-site 22.5 bases upstream of argIp	4478366.5d0	Regulation of argIp by ArgR-L-arginine DNA-binding transcriptional dual regulator
Fis DNA-binding-site 88 bases upstream of cspIp1	1638900	Regulation of cspIp1 by DNA-binding transcriptional dual regulator Fis
NarL-Pasp59 DNA-binding-site 46 bases upstream of napFp2	2303623	Regulation of napFp2 by DNA-binding transcriptional dual regulator NarL-phosphorylated // Regulation of napFp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated
Fnr DNA-binding-site 50.5 bases upstream of ndhp	1165941.5	Regulation of ndhp by DNA-binding transcriptional dual regulator FNR
PgrR DNA-binding-site regulating ycjGp		Regulation of ycjGp by DNA-binding transcriptional repressor PgrR
NarL-Pasp59 DNA-binding-site 208 bases upstream of narGp	1279599	Regulation of narGp by DNA-binding transcriptional dual regulator NarL-phosphorylated
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 484.5 bases upstream of fumCp2	1687193.5	Regulation of fumCp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
CsgD DNA-binding-site 27.5 bases upstream of csgBp2	1103831.5	Regulation of csgBp2 by DNA-binding transcriptional dual regulator CsgD // Regulation of csgBp by DNA-binding transcriptional dual regulator CsgD
DNA-binding transcriptional dual regulator CysB DNA-binding-site 55 bases upstream of cysJp	2892019	Regulation of cysJp by CysB-O-acetyl-L-serine DNA-binding transcriptional dual regulator
NarL-Pasp59 DNA-binding-site 26 bases upstream of frdAp2	4382438	Regulation of frdAp2 by DNA-binding transcriptional dual regulator NarL-phosphorylated // Regulation of frdAp by DNA-binding transcriptional dual regulator NarL-phosphorylated
Nac DNA-binding-site regulating yohO	2215650	Regulation of yohO by DNA-binding transcriptional dual regulator Nac
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 50.5 bases upstream of pdhRp2	121983.5	Regulation of pdhRp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of pdhRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
Nac DNA-binding-site regulating yagU	302856	Regulation of yagU by DNA-binding transcriptional dual regulator Nac
IHF DNA-binding-site 152 bases upstream of glnHp2	848199	Regulation of glnHp2 by DNA-binding transcriptional dual regulator IHF
ArgP DNA-binding-site 244.5 bases upstream of nrdAp	2344510.5	Regulation of nrdAp by DNA-binding transcriptional dual regulator ArgP
Nac DNA-binding-site regulating cysQ	4436619	Regulation of cpdB by DNA-binding transcriptional dual regulator Nac // Regulation of cysQ by DNA-binding transcriptional dual regulator Nac
Nac DNA-binding-site regulating yhbX	3321219	Regulation of yhbX by DNA-binding transcriptional dual regulator Nac
SoxS DNA-binding-site 60.5 bases upstream of poxBp2	911136.5d0	Regulation of poxBp2 by DNA-binding transcriptional dual regulator SoxS // Regulation of poxBp1 by DNA-binding transcriptional dual regulator SoxS
Nac DNA-binding-site regulating pinQ	1633133	Regulation of ydfK by DNA-binding transcriptional dual regulator Nac // Regulation of pinQ by DNA-binding transcriptional dual regulator Nac
CsgD DNA-binding-site 166.5 bases upstream of csgDp3	1103510.5	Regulation of csgDp3 by DNA-binding transcriptional dual regulator CsgD // Regulation of csgDp1 by DNA-binding transcriptional dual regulator CsgD
Lrp DNA-binding-site 143 bases downstream of ompCp3	2312745	Regulation of ompCp3 by DNA-binding transcriptional dual regulator Lrp // Regulation of ompCp2 by DNA-binding transcriptional dual regulator Lrp // Regulation of ompCp1 by DNA-binding transcriptional dual regulator Lrp
Fis DNA-binding-site 20 bases upstream of cspIp1	1638832	Regulation of cspIp1 by DNA-binding transcriptional dual regulator Fis
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 63.5 bases downstream of puuDp	1361114.5	Regulation of puuDp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
NsrR DNA-binding-site 80 bases downstream of thrSp	1802654	Regulation of thrSp by DNA-binding transcriptional dual regulator NsrR
Fis DNA-binding-site 282 bases upstream of hnsp	1293240	Regulation of hnsp by DNA-binding transcriptional dual regulator Fis
GlrR-Pasp56 DNA-binding-site 90.5 bases upstream of rseDp1	2710429.5	Regulation of rseDp1 by DNA-binding transcriptional activator GlrR-phosphorylated // Regulation of rseDp2 by DNA-binding transcriptional activator GlrR-phosphorylated
Nac DNA-binding-site 19 bases upstream of serAp1	3058475	Regulation of serAp1 by DNA-binding transcriptional dual regulator Nac
CpxR-phosphorylated DNA-binding-site regulating cyaRp3		Regulation of cyaRp3 by DNA-binding transcriptional dual regulator CpxR-phosphorylated // Regulation of cyaRp2 by DNA-binding transcriptional dual regulator CpxR-phosphorylated // Regulation of cyaRp by DNA-binding transcriptional dual regulator CpxR-phosphorylated
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 39.5 bases upstream of lacZp2	366404.5	Regulation of lacZp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of lacZp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of lacZp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
AscG DNA-binding-site 89.5 bases downstream of htpGp1	495163.5	Regulation of htpGp1 by DNA-binding transcriptional repressor AscG
ExuR DNA-binding-site 193.5 bases upstream of exuRp2	3246424.5	Regulation of exuRp2 by DNA-binding transcriptional repressor ExuR
Fnr DNA-binding-site 26.5 bases upstream of ybdNp	636712.5	Regulation of ybdNp by DNA-binding transcriptional dual regulator FNR
PhoB-Pasp53 DNA-binding-site 26 bases upstream of ugpBp2	3592452	Regulation of ugpBp2 by DNA-binding transcriptional dual regulator PhoB-phosphorylated
NarL-Pasp59 DNA-binding-site 25 bases upstream of focAp3	954839	Regulation of focAp3 by DNA-binding transcriptional dual regulator NarL-phosphorylated // Regulation of focAp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated
NsrR DNA-binding-site 81 bases upstream of aceEp2	122888	Regulation of aceEp2 by DNA-binding transcriptional dual regulator NsrR // Regulation of aceEp1 by DNA-binding transcriptional dual regulator NsrR
SoxS DNA-binding-site regulating mdaB	3172462	Regulation of mdaB by DNA-binding transcriptional dual regulator SoxS
MetJ-SAM DNA-binding-site 30.5 bases upstream of metBp	4128605.5d0	Regulation of metBp by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine
QseB-Pasp51 DNA-binding-site 49 bases upstream of feaRp1	1447398	Regulation of feaRp1 by Phosphorylated DNA-binding transcriptional activator QseB
Fnr DNA-binding-site 61.5 bases upstream of uppp	2620970.5d0	Regulation of uppp by DNA-binding transcriptional dual regulator FNR
Cra DNA-binding-site 13.5 bases upstream of pdeLp1	332025.5	Regulation of pdeLp1 by DNA-binding transcriptional dual regulator Cra
Fnr DNA-binding-site 127.5 bases upstream of malPp	3552637.5d0	Regulation of malPp by DNA-binding transcriptional dual regulator FNR
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 80 bases upstream of xylEp	4242371	Regulation of xylEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
GadW DNA-binding-site 74.5 bases upstream of hdeAp2	3656865.5	Regulation of hdeAp2 by DNA-binding transcriptional dual regulator GadW // Regulation of hdeAp2 by DNA-binding transcriptional dual regulator GadW // Regulation of hdeAp by DNA-binding transcriptional dual regulator GadW // Regulation of hdeAp by DNA-binding transcriptional dual regulator GadW
Fis DNA-binding-site 71 bases upstream of rrsDp	3429118	Regulation of rrsDp by DNA-binding transcriptional dual regulator Fis // Regulation of rrsDp1 by DNA-binding transcriptional dual regulator Fis
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 195.5 bases upstream of malKp	4246540.5	Regulation of malKp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of malEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
DeoR DNA-binding-site 308 bases upstream of deoCp2	4616970	Regulation of deoCp2 by DNA-binding transcriptional repressor DeoR
Fis DNA-binding-site 143 bases upstream of dusBp	3410103	Regulation of dusBp by DNA-binding transcriptional dual regulator Fis
FlhDC DNA-binding-site 54.5 bases upstream of flgBp	1130938.5	Regulation of flgBp by FlhDC DNA-binding transcriptional dual regulator
H-NS DNA-binding-site regulating fimBp2		Regulation of fimBp2 by DNA-binding transcriptional dual regulator H-NS
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 91.5 bases upstream of ansBp2	3100842.5	Regulation of ansBp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 48.5 bases upstream of rpoHp5	3600897.5	Regulation of rpoHp5 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
RcsB-BglJ DNA-binding-site 66.5 bases upstream of yehFp	2196378.5	Regulation of yehFp by RcsB-BglJ DNA-binding transcriptional activator
H-NS DNA-binding-site regulating gspAp1		Regulation of gspAp1 by DNA-binding transcriptional dual regulator H-NS
Nac DNA-binding-site regulating fklB	4428770	Regulation of ytfB by DNA-binding transcriptional dual regulator Nac // Regulation of fklB by DNA-binding transcriptional dual regulator Nac
Fnr DNA-binding-site 114.5 bases upstream of fumBp	4347462.5d0	Regulation of fumBp by DNA-binding transcriptional dual regulator FNR
IHF DNA-binding-site 57 bases upstream of atoDp	2323355	Regulation of atoDp by DNA-binding transcriptional dual regulator IHF
Fis DNA-binding-site 122 bases upstream of hupBp3	461210	Regulation of hupBp3 by DNA-binding transcriptional dual regulator Fis // Regulation of hupBp2 by DNA-binding transcriptional dual regulator Fis
Lrp DNA-binding-site 149 bases upstream of dadAp3	1237389	Regulation of dadAp3 by DNA-binding transcriptional dual regulator Lrp // Regulation of dadAp2 by DNA-binding transcriptional dual regulator Lrp // Regulation of dadAp1 by DNA-binding transcriptional dual regulator Lrp
ArgR-arg DNA-binding-site 1.5 bases upstream of argFp	290341.5d0	Regulation of argFp by ArgR-L-arginine DNA-binding transcriptional dual regulator
DNA-binding transcriptional dual regulator Fur DNA-binding-site regulating paaAp		Regulation of paaABCDEFGHIJK by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
PdhR DNA-binding-site 21 bases upstream of fecAp	4516748	Regulation of fecAp by DNA-binding transcriptional dual regulator PdhR
LexA DNA-binding-site 7.5 bases upstream of dinQp	3647989.5	Regulation of dinQp by DNA-binding transcriptional repressor LexA
BasR-Pasp51 DNA-binding-site 41.5 bases upstream of fimBp2	4540625.5	Regulation of fimBp2 by DNA-binding transcriptional dual regulator BasR-phosphorylated
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 342 bases upstream of srlAp	2825449	Regulation of srlAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 41.5 bases upstream of gntXp	3544625.5d0	Regulation of gntXp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
Fnr DNA-binding-site 41.5 bases upstream of caiTp	42078.5d0	Regulation of caiTp by DNA-binding transcriptional dual regulator FNR
OmpR-P DNA-binding-site 70.5 bases upstream of ompFp2	987162.5	Regulation of ompFp2 by DNA-binding transcriptional dual regulator OmpR-phosphorylated // Regulation of ompFp2 by DNA-binding transcriptional dual regulator OmpR-phosphorylated // Regulation of ompFp by DNA-binding transcriptional dual regulator OmpR-phosphorylated // Regulation of ompFp by DNA-binding transcriptional dual regulator OmpR-phosphorylated
Lrp DNA-binding-site 186 bases upstream of osmYp2	4610967	Regulation of osmYp2 by DNA-binding transcriptional dual regulator Lrp // Regulation of osmYp by DNA-binding transcriptional dual regulator Lrp
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 131.5 bases upstream of lsrRp	1601388.5	Regulation of lsrRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of lsrAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
CpxR-phosphorylated DNA-binding-site 9 bases upstream of tsrp1	4591403	Regulation of tsrp1 by DNA-binding transcriptional dual regulator CpxR-phosphorylated
Lrp-leu DNA-binding-site regulating csiDp		Regulation of csiDp by DNA-binding transcriptional dual regulator Lrp-L-leucine
GadX DNA-binding-site 10.5 bases upstream of gadAp2	3667617.5	Regulation of gadAp2 by DNA-binding transcriptional dual regulator GadX // Regulation of gadAp by DNA-binding transcriptional dual regulator GadX
DNA-binding transcriptional dual regulator Fur DNA-binding-site 13 bases downstream of entCp	624843	Regulation of entCp by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 73.5 bases upstream of rpoHp3	3600943.5	Regulation of rpoHp5 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of rpoHp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of rpoHp5 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of rpoHp4 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
Fnr DNA-binding-site 90.5 bases upstream of caiTp	42127.5d0	Regulation of caiTp by DNA-binding transcriptional dual regulator FNR // Regulation of fixAp by DNA-binding transcriptional dual regulator FNR
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 18.5 bases upstream of azuCp	1988019.5	Regulation of azuCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
PurR-hypoxanthine DNA-binding-site 20.5 bases upstream of purHp	4207647.5	Regulation of purHp by DNA-binding transcriptional repressor PurR-hypoxanthine
H-NS DNA-binding-site 317 bases upstream of cadBp	4360423	Regulation of cadBp by DNA-binding transcriptional dual regulator H-NS
CpxR-phosphorylated DNA-binding-site 134 bases upstream of ompCp1	2312964	Regulation of ompCp1 by DNA-binding transcriptional dual regulator CpxR-phosphorylated
Fnr DNA-binding-site 29 bases downstream of puuAp	1360940	Regulation of puuAp by DNA-binding transcriptional dual regulator FNR
Nac DNA-binding-site regulating ycgJ	1226594	Regulation of ycgJ by DNA-binding transcriptional dual regulator Nac
NsrR DNA-binding-site 38 bases upstream of hmpp	2685759	Regulation of hmpp by DNA-binding transcriptional dual regulator NsrR
OmpR-P DNA-binding-site 206.5 bases upstream of micFp2	2312877.5	Regulation of micFp2 by DNA-binding transcriptional dual regulator OmpR-phosphorylated // Regulation of micFp1 by DNA-binding transcriptional dual regulator OmpR-phosphorylated // Regulation of ompCp1 by DNA-binding transcriptional dual regulator OmpR-phosphorylated
PurR-hypoxanthine DNA-binding-site 38.5 bases upstream of purLp	2695627.5	Regulation of purLp by DNA-binding transcriptional repressor PurR-hypoxanthine
DicA DNA-binding-site regulating dicA	1647874.5	Regulation of dicA by DNA-binding transcriptional dual regulator DicA // Regulation of dicCp by DNA-binding transcriptional dual regulator DicA
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 117.5 bases upstream of guaBp	2634224.5	Regulation of guaBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of xseAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
GadW DNA-binding-site 57.5 bases upstream of gadAp2	3667664.5	Regulation of gadAp2 by DNA-binding transcriptional dual regulator GadW // Regulation of gadAp2 by DNA-binding transcriptional dual regulator GadW // Regulation of gadAp by DNA-binding transcriptional dual regulator GadW // Regulation of gadAp by DNA-binding transcriptional dual regulator GadW
NsrR DNA-binding-site 484 bases upstream of mhpTp	374902	Regulation of mhpTp by DNA-binding transcriptional dual regulator NsrR
H-NS DNA-binding-site 56.5 bases upstream of hlyEp	1230522.5	Regulation of hlyEp by DNA-binding transcriptional dual regulator H-NS // Regulation of hlyEp by DNA-binding transcriptional dual regulator H-NS
TorR-Pasp DNA-binding-site 27.5 bases upstream of hdeAp2	3656818.5	Regulation of hdeAp2 by DNA-binding transcriptional dual regulator TorR-phosphorylated // Regulation of hdeAp by DNA-binding transcriptional dual regulator TorR-phosphorylated
GadX DNA-binding-site 57.5 bases upstream of gadAp2	3667664.5	Regulation of gadAp2 by DNA-binding transcriptional dual regulator GadX // Regulation of gadAp by DNA-binding transcriptional dual regulator GadX
Fnr DNA-binding-site regulating sdhCp		Regulation of sdhCp by DNA-binding transcriptional dual regulator FNR
NagC DNA-binding-site 22 bases upstream of chiZp	708214	Regulation of chiZp by DNA-binding transcriptional dual regulator NagC
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 1.5 bases downstream of hofMp	3522927.5	Regulation of hofMp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 170.5 bases upstream of csgDp3	1103514.5	Regulation of csgDp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of csgDp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
Fis DNA-binding-site 27 bases upstream of gadBp2	1572099	Regulation of gadBp2 by DNA-binding transcriptional dual regulator Fis // Regulation of gadBp by DNA-binding transcriptional dual regulator Fis
DNA-binding transcriptional dual regulator Fur DNA-binding-site 35 bases upstream of cirAp1	2246964	Regulation of cirAp1 by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator // Regulation of cirAp2 by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
Nac DNA-binding-site regulating yjeJ	4374425	Regulation of yjeJ by DNA-binding transcriptional dual regulator Nac
Nac DNA-binding-site regulating yeeZ	2089164	Regulation of yoeB by DNA-binding transcriptional dual regulator Nac // Regulation of yeeZ by DNA-binding transcriptional dual regulator Nac
CpxR-phosphorylated DNA-binding-site 33 bases upstream of carAp2	29586	Regulation of carAB by DNA-binding transcriptional dual regulator CpxR-phosphorylated
MntR DNA-binding-site 5.5 bases downstream of mntHp	2512729.5	Regulation of mntHp by MntR-Mn2+ DNA-binding transcriptional dual regulator
ArcA-Pasp54 DNA-binding-site 15 bases downstream of betTp	329435	Regulation of betTp by DNA-binding transcriptional dual regulator ArcA-phosphorylated // Regulation of betIp by DNA-binding transcriptional dual regulator ArcA-phosphorylated
ChbR DNA-binding-site 61 bases upstream of chbBp	1821787	Regulation of chbBp by DNA binding transcriptional dual regulator ChbR // Regulation of chbBp by ChbR-6-phospho-beta-D-glucosaminyl-(1->4)-N-acetyl-D-glucosamine
phosphorylated DNA-binding transcriptional dual regulator BtsR DNA-binding-site 49 bases upstream of mdhp1	3384362	Regulation of mdhp1 by phosphorylated DNA-binding transcriptional dual regulator BtsR
TyrR-tyr DNA-binding-site 40.5 bases downstream of aroPp1	121631.5d0	Regulation of aroPp1 by DNA-binding transcriptional repressor TyrR-L-tyrosine // Regulation of aroPp2 by DNA-binding transcriptional repressor TyrR-L-tyrosine
SoxS DNA-binding-site 42.5 bases upstream of waaYp	3801178.5	Regulation of waaYp by DNA-binding transcriptional dual regulator SoxS
Fnr DNA-binding-site 91.5 bases upstream of glpTQp	2352542.5	Regulation of glpTQp by DNA-binding transcriptional dual regulator FNR // Regulation of glpAp by DNA-binding transcriptional dual regulator FNR
HypT-[Met-oxidized] DNA-binding-site regulating metNp		Regulation of metNp by HypT-[Met-oxidized] DNA-binding transcriptional dual regulator
SlyA DNA-binding-site regulating sgcXBCQAER (BS0-8641)	4531839.5	Regulation of sgcXBCQAER by DNA-binding transcriptional dual regulator SlyA
Fis DNA-binding-site 265 bases upstream of acsp	4287656	Regulation of acsp by DNA-binding transcriptional dual regulator Fis // Regulation of acsp2 by DNA-binding transcriptional dual regulator Fis // Regulation of acsp1 by DNA-binding transcriptional dual regulator Fis // Regulation of nrfAp by DNA-binding transcriptional dual regulator Fis
H-NS DNA-binding-site 88.5 bases upstream of yciGp	1316180.5	Regulation of yciGp by DNA-binding transcriptional dual regulator H-NS
Fis DNA-binding-site 31 bases upstream of yeaRp	1880025	Regulation of yeaRp by DNA-binding transcriptional dual regulator Fis
TyrR-tyr DNA-binding-site 106 bases upstream of folAp	49693	Regulation of folAp by DNA-binding transcriptional repressor TyrR-L-tyrosine
GlpR DNA-binding-site 132.5 bases upstream of glpTQp	2352583.5	Regulation of glpTQp by DNA-binding transcriptional repressor GlpR // Regulation of glpAp by DNA-binding transcriptional repressor GlpR
SoxR DNA-binding-site 36 bases downstream of yrbLp	3348456	Regulation of yrbLp by DNA-binding transcriptional dual regulator SoxR
PhoP-Pasp51 DNA-binding-site 85 bases upstream of gadEp1	3658157	Regulation of gadEp1 by DNA-binding transcriptional dual regulator PhoP-phosphorylated
GadE DNA-binding-site 30.5 bases upstream of gadEp2	3658314.5	Regulation of gadEp2 by DNA-binding transcriptional activator GadE
UhpA-Pasp DNA-binding-site 64.5 bases upstream of uhpTp	3847262.5	Regulation of uhpTp by DNA-binding transcriptional activator UhpA-phosphorylated
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 20.5 bases upstream of raiAp	2737083.5	Regulation of raiAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
ArcA-Pasp54 DNA-binding-site 84 bases upstream of cydAp1	771086	Regulation of cydAp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated
GlaR DNA-binding-site regulating yadN	157230	Regulation of yadN by DNA-binding transcriptional repressor GlaR
CpxR-phosphorylated DNA-binding-site 73.5 bases upstream of csgDp3	1103417.5	Regulation of csgDp3 by DNA-binding transcriptional dual regulator CpxR-phosphorylated // Regulation of csgDp1 by DNA-binding transcriptional dual regulator CpxR-phosphorylated
Rob DNA-binding-site 40 bases upstream of micFp2	2313044	Regulation of micFp2 by DNA-binding transcriptional dual regulator Rob // Regulation of micFp1 by DNA-binding transcriptional dual regulator Rob
DnaA-ATP DNA-binding-site 41 bases upstream of uvrBp3	813111	Regulation of uvrBp3 by DnaA-ATP
ArcA-Pasp54 DNA-binding-site 184 bases upstream of rhaTp	4100750	Regulation of rhaTp by DNA-binding transcriptional dual regulator ArcA-phosphorylated
NtrC-Pasp DNA-binding-site 543 bases upstream of patAp2	3218915	Regulation of patAp2 by DNA-binding transcriptional dual regulator NtrC-phosphorylated // Regulation of patAp by DNA-binding transcriptional dual regulator NtrC-phosphorylated
DNA-binding transcriptional dual regulator Fur DNA-binding-site 4 bases downstream of nohAp	1636600	Regulation of nohAp by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
Lrp-leu DNA-binding-site regulating rrsCp		Regulation of rrsCp by DNA-binding transcriptional dual regulator Lrp-L-leucine // Regulation of rrsCp1 by DNA-binding transcriptional dual regulator Lrp-L-leucine
Fnr DNA-binding-site regulating ydfZ		Regulation of ydfZ by DNA-binding transcriptional dual regulator FNR
DNA-binding transcriptional repressor IclR DNA-binding-site 26 bases upstream of aceBp	4215376	Regulation of aceBp by IclR-pyruvate DNA-binding transcriptional repressor
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating psuKG	2259515.5	Regulation of psuKG by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
MatA DNA-binding-site regulating fliAp1		Regulation of fliAp1 by DNA-binding transcriptional dual regulator MatA
Rob DNA-binding-site 35.5 bases upstream of fumCp1	1686689.5	Regulation of fumCp1 by DNA-binding transcriptional dual regulator Rob
OmpR-P DNA-binding-site 49.5 bases upstream of csgDp3	1103393.5	Regulation of csgDp3 by DNA-binding transcriptional dual regulator OmpR-phosphorylated // Regulation of csgDp1 by DNA-binding transcriptional dual regulator OmpR-phosphorylated
NarL-Pasp59 DNA-binding-site 177 bases upstream of narKp1	1277755	Regulation of narKp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated
IHF DNA-binding-site 1848 bases downstream of dppAp	3706023	Regulation of dppAp by DNA-binding transcriptional dual regulator IHF
MalT-maltotriose-ATP DNA-binding-site 230.5 bases upstream of malKp	4246505.5	Regulation of malKp by DNA-binding transcriptional activator MalT-maltotriose-ATP // Regulation of malEp by DNA-binding transcriptional activator MalT-maltotriose-ATP
YgfI DNA-binding-site 29.5 bases downstream of dhaKp	1250915.5	Regulation of dhaKLM by DNA-binding transcriptional activator YgfI
TyrR DNA-binding-site 95.5 bases upstream of tyrRp	1386596.5	Regulation of tyrRp by DNA-binding transcriptional dual regulator TyrR
ArcA-Pasp54 DNA-binding-site 27 bases upstream of lpdAp	127690	Regulation of lpdAp by DNA-binding transcriptional dual regulator ArcA-phosphorylated
Fis DNA-binding-site 53.5 bases upstream of mazEp2	2911408.5	Regulation of mazEp2 by DNA-binding transcriptional dual regulator Fis // Regulation of mazEp1 by DNA-binding transcriptional dual regulator Fis
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 92.5 bases upstream of ompFp2	987184.5	Regulation of ompFp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of ompFp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
YgfI DNA-binding-site 320 bases upstream of fucAp	2934174	Regulation of fucAO by DNA-binding transcriptional activator YgfI // Regulation of fucPIKUR by DNA-binding transcriptional activator YgfI
Fnr DNA-binding-site 149.5 bases upstream of hypBp	2850689.5	Regulation of hypBp by DNA-binding transcriptional dual regulator FNR
RelBE DNA-binding-site 28 bases downstream of relBp	1645876	Regulation of relBp by RelB-RelE antitoxin/toxin complex / DNA-binding transcriptional repressor
CreB-Pasp54 DNA-binding-site 52.5 bases upstream of creDp	4638107.5	Regulation of creDp by DNA-binding transcriptional regulator CreB-phosphorylated
Cra DNA-binding-site 35.5 bases upstream of pfkAp	4107438.5	Regulation of pfkAp by DNA-binding transcriptional dual regulator Cra // Regulation of pfkAp2 by DNA-binding transcriptional dual regulator Cra
Fis DNA-binding-site 156 bases upstream of rnpBp	3270748	Regulation of rnpBp by DNA-binding transcriptional dual regulator Fis
FliZ DNA-binding-site 12 bases downstream of flhDp	1978384	Regulation of flhDp by DNA-binding transcriptional regulator FliZ
Lrp-leu DNA-binding-site 167.5 bases downstream of ilvLp2	3950456.5d0	Regulation of ilvLp2 by DNA-binding transcriptional dual regulator Lrp-L-leucine
Fis DNA-binding-site 128 bases upstream of nrdAp	2344627	Regulation of nrdAp by DNA-binding transcriptional dual regulator Fis
OmpR-P DNA-binding-site 60.5 bases upstream of fadLp	2461144.5	Regulation of fadLp by DNA-binding transcriptional dual regulator OmpR-phosphorylated
